# time lat lng id
124909 -27.3462241 153.0319384 590465453668962304
125937 -27.47891779 153.02195294 590469767179292673
130412 -27.86134333 153.36957 590488537662758913
131590 -27.42685636 152.9954636 590493477185564673
132786 -28.03011831 153.43140203 590498492012830720
132959 -27.42665496 152.99561608 590499219678474240
133399 -28.02941389 153.431446 590501066883530752
134077 -27.76514901 153.24205282 590503907421327361
137119 -27.42685791 152.99546295 590516667261685760
138121 -28.02999663 153.43133863 590520868482240512
139641 -26.70442625 153.100727625 590527246571540480
141449 -28.03433939 153.43164053 590534827679490049
142734 -27.686704875 153.18644968750002 590540220170260480
142753 -27.686704875 153.18644968750002 590540298612183041
142755 -27.686704875 153.18644968750002 590540305855746048
142756 -27.686704875 153.18644968750002 590540311878742016
142760 -27.686704875 153.18644968750002 590540327376687104
142761 -27.686704875 153.18644968750002 590540332699226112
142763 -27.686704875 153.18644968750002 590540338315468800
142767 -27.686704875 153.18644968750002 590540356187336704
142767 -27.686704875 153.18644968750002 590540359047847936
142772 -27.686704875 153.18644968750002 590540377125355520
142778 -27.686704875 153.18644968750002 590540404514107392
142782 -27.686704875 153.18644968750002 590540421920526336
142814 -27.686704875 153.18644968750002 590540554720579584
142827 -27.686704875 153.18644968750002 590540606943825920
142887 -27.686704875 153.18644968750002 590540861630386177
142994 -27.686704875 153.18644968750002 590541307552145409
144880 -27.46833833 153.01136038 590549221557731328
147108 -28.16766667 153.53325 590558563346546689
156554 -27.97184616 153.36747137 590598184021454848
160432 -26.92019495 152.9934597 590614449809154051
161862 -27.5489389 153.273172 590620446191722500
164386 -27.46156222 153.09198798 590631035848765440
164470 -27.5054737 153.0397505 590631384294764545
165294 -27.9263634 153.3332222 590634840250265600
165690 -27.68130534 153.17186055 590636503639973890
165723 -27.681058 153.1719555 590636642806931457
165795 -27.681058 153.1719555 590636942930350081
166005 -27.92896405 153.3350505 590637824715714563
166096 -27.44677942 153.03529817 590638205818556416
166198 -27.92619221 153.3338788 590638635424288769
166339 -27.78772862 153.26115831 590639226544357377
166357 -27.9288297 153.33510574 590639301597200384
166379 -28.07242363 153.41545081 590639393842532353
166568 -27.47155793 153.01801027 590640186062675968
166746 -27.92897414 153.33509828 590640933391228929
166821 -27.85084474 153.29739846 590641246772797440
167299 -27.50775366 152.93863237 590643253537562624
167407 -27.507416 152.9390275 590643705071198209
168403 -27.99411721 153.35001111 590647882530873346
169045 -27.63036257 152.95822637 590650576389693440
169197 -27.83978299 153.32662064 590651211512225792
169827 -27.686704875 153.18644968750002 590653854301167617
170288 -28.08032813 153.4103855 590655787111964672
170752 -27.56598795 152.95242498 590657733994610688
170798 -28.0800475 153.4106295 590657928304132097
171352 -27.5571698 152.2771426 590660250975481856
172459 -28.0800475 153.4106295 590664895298936833
172896 -27.46788796 153.0103284 590666725772918785
172947 -27.47755633 152.9801567 590666942240940033
173652 -26.70442625 153.100727625 590669897409101825
174225 -27.5253905 153.27969281 590672302435602432
174361 -27.52533723 153.2797466 590672872441544705
174389 -27.8903048 153.3124532 590672989324242944
174515 -27.8903198 153.3124697 590673516204318721
174811 -27.5250795 153.2793925 590674757391114240
175226 -27.5250795 153.2793925 590676501143678976
175391 -27.5250795 153.2793925 590677191928741888
175450 -27.5250795 153.2793925 590677439229071360
175526 -27.52530781 153.27974025 590677757664829440
175852 -27.5250795 153.2793925 590679125406457857
176700 -28.0800475 153.4106295 590682683921063939
177384 -27.103026 152.9493345 590685551780593664
177799 -27.45906505 153.01357778 590687292093771778
178552 -27.458925999999998 153.0128915 590690449230323714
178646 -27.4717485 153.0183095 590690843901689857
178652 -27.66183428 153.04358328 590690869445062657
178657 -27.4717485 153.0183095 590690889678348288
178666 -27.4717485 153.0183095 590690929830457345
178702 -27.4717485 153.0183095 590691079248334848
178845 -27.4717485 153.0183095 590691680862494722
178884 -27.66189094 153.04318369 590691844490670080
179041 -27.4717485 153.0183095 590692499875835905
179091 -27.4717485 153.0183095 590692709612003329
179175 -27.46888973 153.02111537 590693061308588033
179270 -27.66202559 153.04340054 590693463294869505
179323 -27.6619469 153.04339269 590693682359185408
179891 -27.99134719 153.41252754 590696067613720576
180113 -28.00305881 153.43141325 590696999642599424
182208 -27.55811503 152.94033004 590705785920970752
182241 -28.02747311 153.43077233 590705923750031362
182559 -28.16864261 153.53921507 590707255697416193
183850 -27.47920353 153.02198695 590712670715805696
184092 -27.97079 153.41228 590713685208891393
186094 -27.4673717 153.0181935 590722083065331712
186255 -27.66902219 153.09410793 590722760801943552
186603 -27.969186 153.41686717 590724219211796480
186870 -28.02922999 153.43220104 590725340022071296
187134 -27.46871432 153.02090041 590726446232039424
187151 -27.46880627 153.02128559 590726517891723264
187233 -27.61527145 153.12510336 590726860515991553
187266 -27.61477759 153.12479004 590726997707460609
187447 -27.23660329 153.09487716 590727758835294208
188447 -27.96913278 153.41702979 590731951440527361
188797 -28.02747311 153.43077233 590733422668165120
188945 -26.70442625 153.100727625 590734039734218753
189060 -26.70442625 153.100727625 590734523664576513
189069 -27.174977000000002 152.98295530000001 590734561618833408
189074 -26.70442625 153.100727625 590734582439419905
190002 -27.46715092 153.01771103 590738473872666626
190116 -27.96916081 153.41695205 590738955294875650
190449 -27.5250795 153.2793925 590740351280934913
190935 -27.47329111 153.02446847 590742387665850369
190996 -28.08937992 153.40437004 590742644713775105
191071 -28.16864261 153.53921507 590742956774154241
191467 -27.34389127 153.0281401 590744619996082180
191510 -27.34389127 153.0281401 590744799117979648
191756 -27.34386445 153.02823033 590745832594497536
192018 -27.4703916 153.0216708 590746931942531072
192541 -27.34383969 153.02826728 590749124137463809
192681 -26.70442625 153.100727625 590749710853533697
192687 -26.70442625 153.100727625 590749737990631424
192695 -27.174977000000002 152.98295530000001 590749771939368960
193036 -27.3301125 153.0107367 590751202268315648
193857 -27.43988226 153.03098808 590754643556335617
194676 -28.16864261 153.53921507 590758080427794432
195336 -27.50153449 153.10284566 590760845392666624
195717 -27.4467576 153.0345934 590762443544125440
196613 -28.02747311 153.43077233 590766201955024897
197389 -27.4738 153.037 590769457905213440
198259 -27.4674811 153.01714563 590773107356401664
198510 -27.473529 153.02402850000001 590774158549655552
198941 -27.473529 153.02402850000001 590775966026309633
199392 -27.87200587 153.345391 590777858303217664
200777 -27.3102971 152.9856229 590783670283149313
202481 -27.45890072 153.01299809 590790816550924288
202657 -27.47072 153.04316667 590791554677268480
202683 -27.5100693 152.95750796 590791664735649793
202898 -27.51010713 152.95750548 590792565588267008
202913 -27.44104441 153.03921743 590792628762906625
203320 -27.62757112 152.96747276 590794334070566913
203380 -27.28871099 152.96379581 590794586806620160
203608 -27.3508901 153.0658292 590795543170920448
203791 -27.5489635 153.273229 590796310321598464
203876 -27.3508545 153.0658709 590796666099359744
203920 -27.46450959 153.0085234 590796849793126400
204215 -27.3508734 153.0658495 590798087523794944
204637 -27.61332662 153.14352331 590799856836435968
205521 -27.50993942 152.95748851 590803566316556289
205555 -27.41480631 152.96881162 590803707794563072
206372 -27.5489218 153.2731733 590807137552465920
206929 -27.23660329 153.09487716 590809471854718976
208393 -27.779242500000002 153.2765585 590815613569933312
208953 -27.5494348 152.9159463 590817961671196672
209072 -28.16864261 153.53921507 590818461716209664
209871 -27.46119103 153.09129864 590821812092690432
210183 -26.75497639 153.10617451 590823121482948608
210466 -27.5250795 153.2793925 590824307846041600
210542 -26.75524 153.1055245 590824624616701952
211354 -27.67724773 153.16877771 590828030630567936
211531 -27.9758321 153.4073569 590828773525753856
212628 -27.47875749 153.02156728 590833375407112192
213817 -27.99775099 153.42066254 590838360773566464
213869 -27.5489606 153.2732058 590838579460341760
214044 -27.4747825 153.038034 590839315447422976
214332 -27.60771277 152.94676524 590840523742523392
214680 -27.41480151 152.96881232 590841983389696000
219553 -27.6691951 153.0991516 590862420207251459
219785 -27.9718738 153.36750132 590863393189330944
220734 -27.561926 153.0804329 590867374636568577
221423 -27.50156239 152.99721897 590870262993719297
222747 -27.97179972 153.36741513 590875816839352320
223033 -26.70442625 153.100727625 590877017308004352
223527 -27.97179588 153.36746612 590879090317524992
223600 -27.97179524 153.36746349 590879393486016512
226763 -28.1210423 153.4678743 590892660002402305
245947 -27.44885828 153.01342542 590973126118215682
246438 -27.97370382 153.36705246 590975183566974977
246744 -27.99779874 153.42072056 590976466738774016
247283 -27.97180236 153.36753507 590978730455015424
249352 -27.6369522 153.13680843 590987405009653760
249425 -27.636730375 153.13632499999997 590987711252549632
249614 -27.5494433 152.9159252 590988507708989440
251014 -27.46775169 153.01231748 590994379772301312
251365 -27.27669713 153.01857842 590995848080666624
252163 -27.99769898 153.42077071 590999195940585472
254269 -27.97043598 153.41324318 591008029681651712
254461 -27.444416 153.0300445 591008833985646592
255292 -27.5489591 153.2731903 591012319099883521
255488 -27.47174175 153.02365406 591013143851233280
256127 -27.44635435 153.0355374 591015824594313217
256867 -27.85084474 153.29739846 591018927699918848
258902 -27.91861395 153.28803632 591027463481733120
260145 -27.66902388 153.0940935 591032676938690563
261373 -27.4465664 153.0342903 591037826768089088
261438 -28.02987681 153.43142423 591038097602707456
261631 -27.47571343 153.02675413 591038908504223745
261762 -27.475932000000004 153.0261295 591039459979698176
262170 -27.4123281 153.0764625 591041168269451264
262361 -27.96357974 153.37898433 591041972749656064
264443 -28.11592144 153.4208832 591050703830786048
265069 -26.48109029 153.0968166 591053329813352449
265111 -28.029439500000002 153.4312955 591053505533706240
265315 -28.07052027 153.41348181 591054360060145665
265434 -28.115724833333335 153.42024166666664 591054859740184576
265675 -27.46888973 153.02111537 591055868680110080
265898 -28.02692686 153.43159171 591056806870319104
265979 -27.47390681 153.11738718 591057143719145473
266132 -28.029439500000002 153.4312955 591057787423043585
267808 -28.029439500000002 153.4312955 591064818926292992
268326 -27.46888973 153.02111537 591066991718457345
268476 -27.46888973 153.02111537 591067619765137408
268869 -27.46888973 153.02111537 591069265748439041
269639 -28.12677399 153.46612595 591072495022649345
270458 -27.96326111 153.37922853 591075933307555840
270472 -27.46780509 153.01031728 591075989075009536
270485 -27.96326777 153.37924042 591076043928121345
270623 -27.47403528 153.02540755 591076624113668097
270711 -27.47403034 153.02540287 591076993740853249
270755 -27.47403087 153.02540733 591077178986483713
270824 -27.46874429 153.02115304 591077465524674561
270961 -27.47403525 153.02540486 591078043533246466
271194 -27.47403511 153.02541214 591079020734775297
271271 -27.47402923 153.02540855 591079341578031104
271795 -27.98638654 153.38203669 591081541029208064
271851 -27.47407348 153.02541484 591081776035991554
272212 -27.47901572 153.02223444 591083288313331712
272224 -27.47901572 153.02223444 591083337822953472
272647 -27.46888973 153.02111537 591085113154392064
272896 -27.47404003 153.02540873 591086158995587072
273151 -27.47404237 153.0254115 591087227192487936
273891 -27.56196269 153.08027452 591090329765437440
273943 -27.46888973 153.02111537 591090549446291456
274377 -27.46888973 153.02111537 591092370554413056
274806 -27.49461427 153.01101101 591094167851429888
276027 -27.5794947 152.9476703 591099289939550208
276853 -27.26878633 152.98105767 591102753352458242
277232 -27.4691097 153.0209019 591104345359257600
277259 -27.501428 153.10293 591104458316193792
277642 -27.45910093 153.01384676 591106063761440768
277747 -27.46863985 153.01032225 591106503504891904
277802 -28.1210506 153.4678349 591106733302382592
277861 -26.6796181 153.11983809 591106981487841280
278119 -27.4644687 153.008583 591108066227179520
278402 -27.564268 153.085052 591109253047386112
278865 -27.49484475 153.01405965 591111193126838272
