# time lat lng id
124987 -33.92457 151.22765 590465781722394624
129140 -33.876839310048894 151.100181137829 590483202264838144
129953 -34.06575 150.82483 590486611504340993
130067 -34.06575 150.82483 590487091504623616
130885 -34.02097874 151.05193529 590490521870577665
131489 -33.7449824 151.2860875 590493054785589250
131899 -33.7447906772674 151.286561590537 590494772747370496
132583 -33.876831930452596 151.211106273251 590497643513556992
132626 -33.90810581 151.22430157 590497824329990144
132638 -33.90810581 151.22430157 590497873541738496
132860 -33.75442378 151.29148664 590498803695792129
133362 -33.7543098949285 151.2920420243565 590500911748788225
134215 -33.75436061 151.29130423 590504488680587264
135463 -33.6959846 151.3019215 590509721813000192
135500 -33.6959846 151.3019215 590509876033359874
136114 -33.89209455 151.27365299 590512452506378240
136767 -33.90809873 151.22427946 590515191810428929
136826 -33.90810615 151.22430137 590515436833230848
136867 -33.90811819 151.22429571 590515610515177472
136891 -33.9081163 151.22429652 590515712147394560
137012 -33.91935285 151.22596701 590516217921671168
137388 -33.774847 150.887538 590517796808691712
138281 -33.88494997 151.18486153 590521541437366273
138343 -33.9182486 151.22634976 590521801899311105
139861 -33.71854 151.11005 590528170329182208
139993 -33.8251716 151.1980382 590528720928112640
140093 -33.83914607 150.99992453 590529141390200833
140462 -33.71854 151.11005 590530690543812608
140470 -33.718661895283645 151.110102237596 590530721057345538
140689 -33.8741257 151.1980496 590531642659188736
140746 -33.87411 151.1981922 590531878706286592
140815 -33.8741269 151.198049 590532168369065985
140871 -33.8741197 151.1980907 590532403619172352
141164 -33.874122 151.1980827 590533634383220736
141300 -33.874101 151.1981573 590534203319582720
141336 -33.874113 151.1980832 590534355912564739
141349 -33.8741404 151.1980372 590534408475516928
141527 -33.91822128 151.2264056 590535157242732545
141546 -33.91818991 151.22633841 590535234279444480
141558 -33.83089004 151.19805729 590535284569153536
141648 -33.91818557 151.22631222 590535664266936320
142428 -34.05467827886602 150.82399003153475 590538934930669568
144486 -33.86910404 151.07707953 590547566745419776
144631 -33.856510224109165 151.2049178945615 590548174219124738
144678 -33.91833364 151.22644491 590548372173402112
145391 -33.88644896 151.21929182 590551362888314880
146012 -33.88644797 151.21922526 590553967043678208
149774 -33.838882780833046 150.999823942955 590569746296397824
151434 -33.83905376 150.99992736 590576708291538944
152168 -33.8863407 151.19414939 590579787581784066
152243 -33.8862594 151.19412358 590580103454818306
152337 -33.83920642 151.00005024 590580497983614978
152431 -33.8388988 150.99991926 590580890608259073
152732 -33.838882780833046 150.999823942955 590582154066849792
152773 -33.42822 151.27574 590582326964461569
153502 -33.838882780833046 150.999823942955 590585384960143360
155464 -33.43347 151.22227 590593613626761217
156472 -33.838882780833046 150.999823942955 590597839274844163
156493 -33.838882780833046 150.999823942955 590597927590109184
157099 -33.838882780833046 150.999823942955 590600469975797761
157261 -33.43347 151.22227 590601148924583936
157548 -33.433038218633335 151.2223712376667 590602354908626944
157577 -33.838882780833046 150.999823942955 590602474769244160
157655 -33.838882780833046 150.999823942955 590602800381440002
158420 -33.856510224109165 151.2049178945615 590606008529059841
159337 -33.838882780833046 150.999823942955 590609856811442177
159554 -33.82058966 151.18556571 590610768959266818
159674 -33.892328784759 151.27329602542852 590611269226487808
159924 -33.8706003 151.19784445 590612318339358721
159955 -33.72069636 151.29620416 590612450891923456
160724 -33.72069797 151.29608682 590615674877255683
161082 -33.907945668995765 151.213480216344 590617175125274626
161233 -33.48485819 151.32377227 590617808511311872
161272 -33.72071564 151.29622186 590617974215684098
161330 -33.72068675 151.29623592 590618214587072512
161334 -33.91962136 151.22481296 590618233994117120
161459 -33.81233726 151.19395335 590618756847685632
161518 -33.94501133 151.18475599 590619005993492481
161541 -33.824436 151.23649347 590619100302471168
161632 -33.72068594 151.29623523 590619484576157696
161661 -33.72064685 151.2961145 590619605237952512
161782 -33.72064859 151.29639472 590620112052453377
161872 -33.87383903 151.20408064 590620487459430400
161971 -34.04902738 151.14347532 590620905304358912
162035 -33.85222222 151.21055556 590621171630133248
162287 -33.86977106 151.18849643 590622228187873282
162711 -33.94501133 151.18475599 590624007797534720
162738 -33.7672601 151.2688461 590624122339745792
162796 -33.8054344 151.0954148 590624362727919619
162910 -33.82987803 151.21546383 590624841499283458
162989 -33.8860886 151.228738 590625172408897536
162989 -33.93003399 151.15451922 590625173382025216
163015 -33.8860824 151.2287438 590625281439879169
163076 -33.8860841 151.2287354 590625539804762114
163123 -33.886074 151.2287349 590625736102432768
163167 -33.885882063051326 151.22861758704852 590625922778275840
163175 -33.8860592 151.2287254 590625952553684992
163239 -33.70569711 151.09896567 590626222394191872
163255 -33.82179459 151.19512074 590626291751190528
163277 -33.9192957 151.22581419 590626382423666689
163309 -33.930023 151.15446062 590626516494655490
163324 -33.82176666 151.1951096 590626579056877568
163348 -33.836044323186854 151.12844479468498 590626681100046337
163351 -34.02098986 151.08986923 590626690776375296
163494 -33.92987572 150.98003699 590627290503065600
163505 -34.02112485092004 151.08983541882122 590627337177300992
163564 -33.91764 151.20184 590627584423124992
163599 -33.82169707 151.19506043 590627732742152192
163620 -33.8218189 151.19506589 590627822873481216
163621 -33.8092899 151.0282088 590627825260097536
163667 -33.79202685819893 151.0037643650464 590628018013483008
163789 -33.8860532 151.2286958 590628529122979840
163820 -33.885882063051326 151.22861758704852 590628660257939458
163836 -33.8860549 151.2287261 590628726448205825
163906 -33.8860995 151.2287634 590629022016610305
164120 -33.8092893 151.0282102 590629919086014464
164238 -33.8860711 151.2287515 590630412407414785
164254 -33.8860711 151.2287515 590630478627110912
164336 -33.8092894 151.028208 590630825756098560
